Hyperparameters,Results,Additional classes
"{'Name Experiment': 'Learning MAS with DRNN Model; no TEM (CIL) with 300 chunks', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x155219081410>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x155218ed33d0>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': False, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 300, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 3, 'Class Incremental Case': (True, 0.35, 75, (True, 0.9), (60, 0.02), 0.4, 3), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.47052805, 'precision': 0.21311907953737378, 'recall': 0.2146279036149425, 'f1_score': 0.2092024740697417, 'confusion_matrix': array([[98, 56, 67,  8,  7, 33,  0,  1,  1,  0,  0,  0],
       [77, 40, 43,  7,  7, 20,  3,  0,  0,  1,  1,  0],
       [76, 45, 59,  6,  2,  8,  1,  0,  0,  0,  0,  0],
       [23, 15, 10,  3,  6,  5,  1,  0,  0,  0,  0,  0],
       [17, 23, 15,  1,  5,  6,  0,  2,  0,  0,  1,  0],
       [14, 18,  5,  1,  0, 28,  4,  1,  0,  0,  0,  0],
       [ 6,  8,  3,  0,  0, 10,  0,  0,  0,  1,  0,  1],
       [ 0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0],
       [ 0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0],
       [ 0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0],
       [ 0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0],
       [ 0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0]]), 'forgetting_measure': [0.43465177, 0.305601, -0.05236487]}","{""Task 0 had these additional classes included:"": [""happy"", ""house"", ""left""], ""Task 1 had these additional classes included:"": [""marvel"", ""nine""], ""Task 2 had these additional classes included:"": [""no"", ""off""]}"
"{'Name Experiment': 'Learning MAS with DRNN Model; no TEM (CIL) with 300 chunks', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x155219081410>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x155218ed33d0>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': False, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 300, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 3, 'Class Incremental Case': (True, 0.35, 75, (True, 0.9), (60, 0.02), 0.4, 3), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.44456978, 'precision': 0.26157445626995628, 'recall': 0.26031037105707346, 'f1_score': 0.25586112316396372, 'confusion_matrix': array([[67, 30, 49,  7,  7, 19,  1,  0,  1],
       [41, 29, 30,  4,  6, 14,  0,  0,  0],
       [50, 26, 37,  3,  6, 12,  3,  1,  0],
       [16, 11,  5,  6,  2,  3,  1,  0,  0],
       [10, 10, 11,  4,  5,  6,  0,  0,  0],
       [ 9, 13,  4,  0,  1, 14,  2,  0,  0],
       [ 8,  8,  2,  0,  0,  6,  0,  0,  0],
       [ 0,  0,  0,  0,  0,  0,  0,  0,  0],
       [ 0,  0,  0,  0,  0,  0,  0,  0,  0]]), 'forgetting_measure': [0.46212564, 0.51245904, -0.10468079]}","{""Task 0 had these additional classes included:"": [""happy"", ""house"", ""left""], ""Task 1 had these additional classes included:"": [""marvel"", ""nine""], ""Task 2 had these additional classes included:"": [""no"", ""off""]}"
"{'Name Experiment': 'Learning LWF with ECHO Model; no TEM (CIL) with 700 chunks', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x155267ed9510>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x155261fc69d0>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': False, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 700, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 3, 'Class Incremental Case': (True, 0.35, 75, (True, 0.9), (60, 0.02), 0.4, 3), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.4133922, 'precision': 0.155908289241622576, 'recall': 0.24424421670449594, 'f1_score': 0.16533645628168047, 'confusion_matrix': array([[173,   0,  13,   0,   0,   0,   0],
       [267,   0,  20,   0,   0,   0,   0],
       [185,   0,  16,   0,   0,   0,   0],
       [ 46,   0,   3,   0,   0,   0,   0],
       [ 73,   0,   4,   0,   0,   0,   0],
       [ 37,   0,  13,   0,   0,   0,   0],
       [ 29,   0,  21,   0,   0,   0,   0]]), 'forgetting_measure': [0.37429304, 0.2949678, 0.10800827]}","{""Task 0 had these additional classes included:"": [""on"", ""one"", ""right""], ""Task 1 had these additional classes included:"": [""seven"", ""sheila""], ""Task 2 had these additional classes included:"": [""six"", ""stop""]}"
"{'Name Experiment': 'Learning LWF with ECHO Model; no TEM (CIL) with 700 chunks', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x155267ed9510>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x155261fc69d0>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': False, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 700, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 3, 'Class Incremental Case': (True, 0.35, 75, (True, 0.9), (60, 0.02), 0.4, 3), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.39629252, 'precision': 0.14743230625583567, 'recall': 0.2405746611770616, 'f1_score': 0.16038144353147247, 'confusion_matrix': array([[ 90,   0,  13,   0,   0,   0,   0],
       [193,   0,  17,   0,   0,   0,   0],
       [113,   0,  14,   0,   0,   0,   0],
       [ 39,   0,   4,   0,   0,   0,   0],
       [ 43,   0,   7,   0,   0,   0,   0],
       [ 16,   0,  21,   0,   0,   0,   0],
       [ 16,   0,  14,   0,   0,   0,   0]]), 'forgetting_measure': [0.40965713, 0.47923577, 0.26849014]}","{""Task 0 had these additional classes included:"": [""on"", ""one"", ""right""], ""Task 1 had these additional classes included:"": [""seven"", ""sheila""], ""Task 2 had these additional classes included:"": [""six"", ""stop""]}"
"{'Name Experiment': 'Learning GEM with ECHO Model; no TEM (CIL) with 500 chunks', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x15527cf66950>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x15527d36e2d0>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': False, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 500, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 3, 'Class Incremental Case': (True, 0.35, 75, (True, 0.9), (60, 0.02), 0.4, 3), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.4031763, 'precision': 0.1447724955678296, 'recall': 0.2271321961620469, 'f1_score': 0.16582296075143067, 'confusion_matrix': array([[162,   0,   0,  41,  13,   0,   0],
       [174,   0,   0,  33,  15,   0,   0],
       [175,   0,   0,  42,  14,   0,   0],
       [ 53,   0,   0,   8,   3,   0,   0],
       [ 49,   0,   0,  17,   1,   0,   0],
       [  2,   0,   0,  20,   6,   0,   0],
       [  6,   0,   0,  44,  22,   0,   0]]), 'forgetting_measure': [0.3862887, 0.15735279, 0.66009074]}","{""Task 0 had these additional classes included:"": [""bird"", ""cat"", ""dog""], ""Task 1 had these additional classes included:"": [""down"", ""eight""], ""Task 2 had these additional classes included:"": [""five"", ""four""]}"
"{'Name Experiment': 'Learning GEM with ECHO Model; no TEM (CIL) with 500 chunks', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x15527cf66950>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x15527d36e2d0>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': False, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 500, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 3, 'Class Incremental Case': (True, 0.35, 75, (True, 0.9), (60, 0.02), 0.4, 3), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.39421703, 'precision': 0.14107142857142857, 'recall': 0.23970973946494142, 'f1_score': 0.1630740008668874, 'confusion_matrix': array([[ 99,   0,   0,  30,   0,   0,   0],
       [131,   0,   0,  52,   0,   0,   0],
       [103,   0,   0,  28,   0,   0,   0],
       [ 30,   0,   0,   8,   0,   0,   0],
       [ 37,   0,   0,  15,   0,   0,   0],
       [  0,   0,   0,  14,   0,   0,   0],
       [  0,   0,   0,  53,   0,   0,   0]]), 'forgetting_measure': [0.38786135, 0.13800535, 0.8119783]}","{""Task 0 had these additional classes included:"": [""bird"", ""cat"", ""dog""], ""Task 1 had these additional classes included:"": [""down"", ""eight""], ""Task 2 had these additional classes included:"": [""five"", ""four""]}"
"{'Name Experiment': 'Learning MAS with ECHO Model; no TEM (CIL) with 300 chunks', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x155218df8ad0>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x155219360090>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': False, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 300, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 3, 'Class Incremental Case': (True, 0.35, 75, (True, 0.9), (60, 0.02), 0.4, 3), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.48169563, 'precision': 0.21303571428571428, 'recall': 0.3857142857142857, 'f1_score': 0.25870797938799802, 'confusion_matrix': array([[217,   0,   0,   0,   0,   0,   0],
       [216,   0,   0,   0,   0,   0,   0],
       [234,   0,   0,   0,   0,   0,   0],
       [ 80,   0,   0,   0,   0,   0,   0],
       [ 53,   0,   0,   0,   0,   0,   0],
       [  0,   0,   0,   0,   0,  52,   0],
       [  0,   0,   0,   0,   0,  48,   0]]), 'forgetting_measure': [0.4190681, 0.3870891, -0.68980324]}","{""Task 0 had these additional classes included:"": [""seven"", ""sheila"", ""six""], ""Task 1 had these additional classes included:"": [""stop"", ""three""], ""Task 2 had these additional classes included:"": [""tree"", ""two""]}"
"{'Name Experiment': 'Learning MAS with ECHO Model; no TEM (CIL) with 300 chunks', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x155218df8ad0>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x155219360090>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': False, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 300, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 3, 'Class Incremental Case': (True, 0.35, 75, (True, 0.9), (60, 0.02), 0.4, 3), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.52400325, 'precision': 0.20097728991067179, 'recall': 0.3857142857142857, 'f1_score': 0.2482571056462116, 'confusion_matrix': array([[154,   0,   0,   0,   0,   0,   0],
       [142,   0,   0,   0,   0,   0,   0],
       [150,   0,   0,   0,   0,   0,   0],
       [ 50,   0,   0,   0,   0,   0,   0],
       [ 37,   0,   0,   0,   0,   0,   0],
       [  0,   0,   0,   0,   0,  28,   0],
       [  0,   0,   0,   0,   0,  39,   0]]), 'forgetting_measure': [0.46236942, 0.40826195, -0.8431033]}","{""Task 0 had these additional classes included:"": [""seven"", ""sheila"", ""six""], ""Task 1 had these additional classes included:"": [""stop"", ""three""], ""Task 2 had these additional classes included:"": [""tree"", ""two""]}"
"{'Name Experiment': 'Learning LWF with ECHO Model; with TEM (CIL) with 700 chunks', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x15524b5f2310>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x1552543d7190>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': True, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 700, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 3, 'Class Incremental Case': (True, 0.35, 75, (True, 0.9), (60, 0.02), 0.4, 3), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.49004925, 'precision': 0.15847102806003429, 'recall': 0.26140848398912916, 'f1_score': 0.18564451421594277, 'confusion_matrix': array([[258,   0,   0,   0,   0,  21,   0],
       [194,   0,   0,   0,   0,  18,   0],
       [161,   0,   0,   0,   0,  13,   0],
       [ 84,   0,   0,   0,   0,   8,   0],
       [ 39,   0,   0,   0,   0,   4,   0],
       [ 31,   0,   0,   0,   0,   8,   0],
       [ 46,   0,   0,   0,   0,  15,   0]]), 'forgetting_measure': [0.52694336, 0.32074395, 0.4717292]}","{""Task 0 had these additional classes included:"": [""left"", ""marvel"", ""nine""], ""Task 1 had these additional classes included:"": [""no"", ""off""], ""Task 2 had these additional classes included:"": [""on"", ""one""]}"
"{'Name Experiment': 'Learning LWF with ECHO Model; with TEM (CIL) with 700 chunks', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x15524b5f2310>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x1552543d7190>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': True, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 700, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 3, 'Class Incremental Case': (True, 0.35, 75, (True, 0.9), (60, 0.02), 0.4, 3), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.47937526, 'precision': 0.138339438339438335, 'recall': 0.24017857142857143, 'f1_score': 0.16021093000958772, 'confusion_matrix': array([[157,   0,   0,   0,   0,   3,   0],
       [116,   0,   0,   0,   0,   2,   0],
       [158,   0,   0,   0,   0,   4,   0],
       [ 58,   0,   0,   0,   0,   4,   0],
       [ 29,   0,   0,   0,   0,   2,   0],
       [ 19,   0,   0,   0,   0,   0,   0],
       [ 48,   0,   0,   0,   0,   0,   0]]), 'forgetting_measure': [0.43141124, 0.06540102, 0.36404714]}","{""Task 0 had these additional classes included:"": [""left"", ""marvel"", ""nine""], ""Task 1 had these additional classes included:"": [""no"", ""off""], ""Task 2 had these additional classes included:"": [""on"", ""one""]}"
"{'Name Experiment': 'Learning MAS with ECHO Model; with TEM (CIL) with 300 chunks', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x15520b9195d0>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x15520bce9d90>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': True, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 300, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 3, 'Class Incremental Case': (True, 0.35, 75, (True, 0.9), (60, 0.02), 0.4, 3), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.43433523, 'precision': 0.19624999999999999, 'recall': 0.3857142857142857, 'f1_score': 0.23903656835594008, 'confusion_matrix': array([[155,   0,   0,   0,   0,   0,   0],
       [255,   0,   0,   0,   0,   0,   0],
       [245,   0,   0,   0,   0,   0,   0],
       [ 78,   0,   0,   0,   0,   0,   0],
       [ 67,   0,   0,   0,   0,   0,   0],
       [  0,   0,   0,   0,   0,  48,   0],
       [  0,   0,   0,   0,   0,  52,   0]]), 'forgetting_measure': [0.29633001, -0.04798169, -0.4625761]}","{""Task 0 had these additional classes included:"": [""off"", ""on"", ""one""], ""Task 1 had these additional classes included:"": [""right"", ""seven""], ""Task 2 had these additional classes included:"": [""sheila"", ""six""]}"
"{'Name Experiment': 'Learning MAS with ECHO Model; with TEM (CIL) with 300 chunks', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x15520b9195d0>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x15520bce9d90>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': True, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 300, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 3, 'Class Incremental Case': (True, 0.35, 75, (True, 0.9), (60, 0.02), 0.4, 3), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.40672637, 'precision': 0.19448469259171843, 'recall': 0.3857142857142857, 'f1_score': 0.23556065122678285, 'confusion_matrix': array([[ 90,   0,   0,   0,   0,   0,   0],
       [221,   0,   0,   0,   0,   0,   0],
       [134,   0,   0,   0,   0,   0,   0],
       [ 46,   0,   0,   0,   0,   0,   0],
       [ 42,   0,   0,   0,   0,   0,   0],
       [  0,   0,   0,   0,   0,  33,   0],
       [  0,   0,   0,   0,   0,  34,   0]]), 'forgetting_measure': [0.33375812, 0.22727315, -0.13928168]}","{""Task 0 had these additional classes included:"": [""off"", ""on"", ""one""], ""Task 1 had these additional classes included:"": [""right"", ""seven""], ""Task 2 had these additional classes included:"": [""sheila"", ""six""]}"
"{'Name Experiment': 'Learning MAS with Dense Model; no TEM (CIL) with 700 chunks', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x155243be2310>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x1552437e69d0>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': False, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 700, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 3, 'Class Incremental Case': (True, 0.35, 75, (True, 0.9), (60, 0.02), 0.4, 3), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.46877075, 'precision': 0.18842081545807094, 'recall': 0.20437979851392772, 'f1_score': 0.18983563567919205, 'confusion_matrix': array([[ 15,  84,  19,   9,   6,  13,  10,   2,   0,   0,   0,   0,   0],
       [ 27, 177,  18,  18,  12,  21,  21,   4,   3,   2,   2,   0,   4],
       [ 23, 112,   7,  15,   9,  19,  13,   2,   0,   1,   0,   0,   1],
       [  6,  31,   3,   4,   5,   4,   4,   1,   0,   1,   2,   0,   0],
       [  4,  33,  11,   8,   2,   4,   5,   1,   1,   1,   0,   0,   0],
       [  2,  11,   6,   0,   0,  15,  14,   0,   1,   2,   1,   1,   1],
       [  0,   5,   6,   0,   0,  13,  13,   0,   0,   6,   0,   0,   3],
       [  0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0],
       [  0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0],
       [  0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0],
       [  0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0],
       [  0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0],
       [  0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0]]), 'forgetting_measure': [0.461006, 0.18428773, 0.48780632]}","{""Task 0 had these additional classes included:"": [""on"", ""one"", ""right""], ""Task 1 had these additional classes included:"": [""seven"", ""sheila""], ""Task 2 had these additional classes included:"": [""six"", ""stop""]}"
"{'Name Experiment': 'Learning MAS with Dense Model; no TEM (CIL) with 700 chunks', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x155243be2310>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x1552437e69d0>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': False, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 700, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 3, 'Class Incremental Case': (True, 0.35, 75, (True, 0.9), (60, 0.02), 0.4, 3), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.5100986, 'precision': 0.21453673875492601, 'recall': 0.20426339713718438, 'f1_score': 0.19202530509665403, 'confusion_matrix': array([[ 11,  65,   7,   8,   2,   2,   9,   0,   0,   2,   1,   0,   0],
       [ 12, 134,  14,  15,   1,  10,  14,   4,   2,   3,   1,   0,   6],
       [  8,  73,  10,  10,   0,   6,   9,   0,   1,   3,   0,   1,   1],
       [  2,  27,   2,   6,   0,   4,   3,   1,   0,   0,   0,   0,   0],
       [  1,  26,   2,   7,   1,   1,   2,   1,   1,   0,   0,   0,   1],
       [  1,  16,   2,   0,   0,   1,  13,   0,   2,   2,   0,   0,   0],
       [  1,  10,   2,   0,   1,   5,  11,   0,   0,   0,   0,   0,   0],
       [  0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0],
       [  0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0],
       [  0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0],
       [  0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0],
       [  0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0],
       [  0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0]]), 'forgetting_measure': [0.48894364, 0.1573878, 0.3481697]}","{""Task 0 had these additional classes included:"": [""on"", ""one"", ""right""], ""Task 1 had these additional classes included:"": [""seven"", ""sheila""], ""Task 2 had these additional classes included:"": [""six"", ""stop""]}"
