Hyperparameters,Results,Classes in task
"{'Name Experiment': 'Learning LWF with ECHO Model; no TEM (DIL) with 700 chunks', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x15522028a210>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x1552190c9d90>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': False, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 700, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 5, 'Class Incremental Case': (False, 50, 1, (True, 0.9), (10, 0.01), 0.4, 6), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.46229554, 'precision': 0.243, 'recall': 0.4, 'f1_score': 0.27078189300411522, 'confusion_matrix': array([[129,   0,   0,   0,   0],
       [133,   0,   0,   0,   0],
       [ 96,   0,   0,   0,   0],
       [133,   0,   0,   0,   0],
       [109,   0,   0,   0,   0]]), 'forgetting_measure': [0.48118968, 0.201581, -0.2524752]}","{""Every task  has these classes:"": [""up"", ""right"", ""go"", ""six"", ""tree""]}"
"{'Name Experiment': 'Learning LWF with Dense Model; no TEM (DIL) with 300 chunks', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x155258e55690>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x155258d01290>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': False, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 300, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 5, 'Class Incremental Case': (False, 50, 1, (True, 0.9), (10, 0.01), 0.4, 6), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.45438902, 'precision': 0.33642729819200408, 'recall': 0.41052761648831514, 'f1_score': 0.34913403547420498, 'confusion_matrix': array([[ 15,   1, 141,  43,   0],
       [ 18,   0, 124,  33,   0],
       [ 23,   2, 166,  38,   0],
       [ 25,   3, 108,  46,   0],
       [  9,   1,  77,  27,   0]]), 'forgetting_measure': [0.50655313, 0.2744947, -0.053065415]}","{""Every task  has these classes:"": [""nine"", ""seven"", ""right"", ""go"", ""down""]}"
"{'Name Experiment': 'Learning LWF with Dense Model; no TEM (DIL) with 300 chunks', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x155258e55690>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x155258d01290>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': False, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 300, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 5, 'Class Incremental Case': (False, 50, 1, (True, 0.9), (10, 0.01), 0.4, 6), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.3955677, 'precision': 0.29992065120733291, 'recall': 0.39503983071944236, 'f1_score': 0.31096275040689915, 'confusion_matrix': array([[  9,   0,  73,  21,   0],
       [ 15,   0, 125,  22,   0],
       [  8,   0,  75,  21,   0],
       [  9,   0,  76,  17,   0],
       [ 14,   0,  94,  21,   0]]), 'forgetting_measure': [0.41223278, 0.2352039, -0.30706188]}","{""Every task  has these classes:"": [""nine"", ""seven"", ""right"", ""go"", ""down""]}"
"{'Name Experiment': 'Learning LWF with ECHO Model; with TEM (DIL) with 700 chunks', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x15522fb21bd0>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x15522fd249d0>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': True, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 700, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 5, 'Class Incremental Case': (False, 50, 1, (True, 0.9), (10, 0.01), 0.4, 6), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.37616108, 'precision': 0.234666666666666665, 'recall': 0.4, 'f1_score': 0.2590909090909091, 'confusion_matrix': array([[156,   0,   0,   0,   0],
       [189,   0,   0,   0,   0],
       [209,   0,   0,   0,   0],
       [184,   0,   0,   0,   0],
       [162,   0,   0,   0,   0]]), 'forgetting_measure': [0.37616107, 0.0, 0.0]}","{""Every task  has these classes:"": [""happy"", ""up"", ""zero"", ""dog"", ""go""]}"
"{'Name Experiment': 'Learning LWF with ECHO Model; with TEM (DIL) with 700 chunks', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x15522fb21bd0>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x15522fd249d0>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': True, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 700, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 5, 'Class Incremental Case': (False, 50, 1, (True, 0.9), (10, 0.01), 0.4, 6), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.40678294, 'precision': 0.238, 'recall': 0.4, 'f1_score': 0.2638655462184874, 'confusion_matrix': array([[114,   0,   0,   0,   0],
       [174,   0,   0,   0,   0],
       [110,   0,   0,   0,   0],
       [107,   0,   0,   0,   0],
       [ 95,   0,   0,   0,   0]]), 'forgetting_measure': [0.40678295, 0.0, 0.0]}","{""Every task  has these classes:"": [""happy"", ""up"", ""zero"", ""dog"", ""go""]}"
"{'Name Experiment': 'Learning MAS with Dense Model; no TEM (DIL) with 700 chunks', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x15522ff7fdd0>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x1552229f4990>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': False, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 700, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 5, 'Class Incremental Case': (False, 50, 1, (True, 0.9), (10, 0.01), 0.4, 6), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.4180424, 'precision': 0.242269187986651836, 'recall': 0.39895287958115185, 'f1_score': 0.26972477064220184, 'confusion_matrix': array([[  0,   0, 161,   0,   0],
       [  0,   0, 183,   0,   0],
       [  0,   0, 190,   0,   1],
       [  0,   0, 209,   0,   0],
       [  0,   0, 156,   0,   0]]), 'forgetting_measure': [0.40458633, -0.09495245, -0.00676868]}","{""Every task  has these classes:"": [""seven"", ""tree"", ""right"", ""cat"", ""nine""]}"
"{'Name Experiment': 'Learning MAS with Dense Model; no TEM (DIL) with 700 chunks', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x15522ff7fdd0>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x1552229f4990>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': False, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 700, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 5, 'Class Incremental Case': (False, 50, 1, (True, 0.9), (10, 0.01), 0.4, 6), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.42323267, 'precision': 0.240999999999999995, 'recall': 0.4, 'f1_score': 0.26804979253112033, 'confusion_matrix': array([[  0,   0, 118,   0,   0],
       [  0,   0, 142,   0,   0],
       [  0,   0, 123,   0,   0],
       [  0,   0, 100,   0,   0],
       [  0,   0, 117,   0,   0]]), 'forgetting_measure': [0.43304328, 0.12629355, -0.14454919]}","{""Every task  has these classes:"": [""seven"", ""tree"", ""right"", ""cat"", ""nine""]}"
"{'Name Experiment': 'Learning LWF with Dense Model; with TEM (DIL) with 300 chunks', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x15525900f5d0>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x155267d4d910>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': True, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 300, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 5, 'Class Incremental Case': (False, 50, 1, (True, 0.9), (10, 0.01), 0.4, 6), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.41487567, 'precision': 0.42828993995467822, 'recall': 0.4237534011677343, 'f1_score': 0.42230573681403304, 'confusion_matrix': array([[10, 32, 43, 33, 20],
       [28, 49, 61, 39, 18],
       [24, 52, 66, 41, 15],
       [26, 37, 59, 42, 28],
       [14, 26, 44, 50, 43]]), 'forgetting_measure': [0.35372914, -0.3083194, -0.44073817]}","{""Every task  has these classes:"": [""marvel"", ""down"", ""six"", ""bird"", ""eight""]}"
"{'Name Experiment': 'Learning LWF with Dense Model; with TEM (DIL) with 300 chunks', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x15525900f5d0>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x155267d4d910>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': True, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 300, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 5, 'Class Incremental Case': (False, 50, 1, (True, 0.9), (10, 0.01), 0.4, 6), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.37425665, 'precision': 0.39152311051408638, 'recall': 0.38619542928467414, 'f1_score': 0.37633082687308566, 'confusion_matrix': array([[ 4, 25, 31, 29, 16],
       [ 3, 25, 48, 38, 24],
       [ 7, 34, 36, 40, 27],
       [ 2, 15, 39, 24, 19],
       [ 6, 22, 29, 32, 25]]), 'forgetting_measure': [0.34471193, -0.3626137, 0.08273833]}","{""Every task  has these classes:"": [""marvel"", ""down"", ""six"", ""bird"", ""eight""]}"
"{'Name Experiment': 'Learning LWF with LSTM Model; no TEM (DIL) with 300 chunks', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x155267eee510>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x15524afbef10>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': False, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 300, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 5, 'Class Incremental Case': (False, 50, 1, (True, 0.9), (10, 0.01), 0.4, 6), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.42805901, 'precision': 0.28318747121142331, 'recall': 0.39561111111111112, 'f1_score': 0.29599311046739215, 'confusion_matrix': array([[206,   0,  19,   0,   0],
       [161,   0,  11,   0,   0],
       [165,   0,  11,   0,   0],
       [174,   0,  12,   0,   0],
       [129,   0,  12,   0,   0]]), 'forgetting_measure': [0.39643414, -0.24149226, 0.0]}","{""Every task  has these classes:"": [""tree"", ""dog"", ""up"", ""down"", ""no""]}"
"{'Name Experiment': 'Learning LWF with LSTM Model; no TEM (DIL) with 300 chunks', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x155267eee510>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x15524afbef10>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': False, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 300, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 5, 'Class Incremental Case': (False, 50, 1, (True, 0.9), (10, 0.01), 0.4, 6), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.40906506, 'precision': 0.246, 'recall': 0.4, 'f1_score': 0.27479674796747968, 'confusion_matrix': array([[138,   0,   0,   0,   0],
       [123,   0,   0,   0,   0],
       [129,   0,   0,   0,   0],
       [102,   0,   0,   0,   0],
       [108,   0,   0,   0,   0]]), 'forgetting_measure': [0.40906508, 0.0, 0.0]}","{""Every task  has these classes:"": [""tree"", ""dog"", ""up"", ""down"", ""no""]}"
"{'Name Experiment': 'Learning MAS with Dense Model; with TEM (DIL) with 700 chunks', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x155222495610>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x1552294b4990>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': True, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 700, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 5, 'Class Incremental Case': (False, 50, 1, (True, 0.9), (10, 0.01), 0.4, 6), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.4262403, 'precision': 0.241156840934371525, 'recall': 0.4, 'f1_score': 0.26826568265682656, 'confusion_matrix': array([[  0, 228,   0,   0,   0],
       [  0, 185,   0,   0,   0],
       [  0, 173,   0,   0,   0],
       [  0, 146,   0,   0,   0],
       [  0, 167,   0,   1,   0]]), 'forgetting_measure': [0.45049078, 0.29043555, -0.4093153]}","{""Every task  has these classes:"": [""go"", ""cat"", ""bed"", ""one"", ""no""]}"
"{'Name Experiment': 'Learning MAS with Dense Model; with TEM (DIL) with 700 chunks', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x155222495610>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x1552294b4990>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': True, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 700, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 5, 'Class Incremental Case': (False, 50, 1, (True, 0.9), (10, 0.01), 0.4, 6), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.45448385, 'precision': 0.25600000000000001, 'recall': 0.4, 'f1_score': 0.28750000000000001, 'confusion_matrix': array([[  0, 119,   0,   0,   0],
       [  0, 168,   0,   0,   0],
       [  0, 119,   0,   0,   0],
       [  0,  61,   0,   0,   0],
       [  0, 133,   0,   0,   0]]), 'forgetting_measure': [0.49288962, 0.39338174, -0.6484832]}","{""Every task  has these classes:"": [""go"", ""cat"", ""bed"", ""one"", ""no""]}"
"{'Name Experiment': 'Learning MAS with LSTM Model; no TEM (DIL) with 700 chunks', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x155210b89710>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x155211201310>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': False, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 700, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 5, 'Class Incremental Case': (False, 50, 1, (True, 0.9), (10, 0.01), 0.4, 6), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.46961675, 'precision': 0.250888888888888886, 'recall': 0.4, 'f1_score': 0.28113374667847652, 'confusion_matrix': array([[  0, 209,   0,   0,   0],
       [  0, 229,   0,   0,   0],
       [  0, 174,   0,   0,   0],
       [  0, 141,   0,   0,   0],
       [  0, 147,   0,   0,   0]]), 'forgetting_measure': [0.46849508, -0.012533077, 0.012377944]}","{""Every task  has these classes:"": [""tree"", ""marvel"", ""sheila"", ""six"", ""down""]}"
"{'Name Experiment': 'Learning MAS with LSTM Model; no TEM (DIL) with 700 chunks', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x155210b89710>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x155211201310>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': False, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 700, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 5, 'Class Incremental Case': (False, 50, 1, (True, 0.9), (10, 0.01), 0.4, 6), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.43284927, 'precision': 0.25, 'recall': 0.4, 'f1_score': 0.28, 'confusion_matrix': array([[  0, 129,   0,   0,   0],
       [  0, 150,   0,   0,   0],
       [  0, 102,   0,   0,   0],
       [  0, 105,   0,   0,   0],
       [  0, 114,   0,   0,   0]]), 'forgetting_measure': [0.43284927, 0.0, 0.0]}","{""Every task  has these classes:"": [""tree"", ""marvel"", ""sheila"", ""six"", ""down""]}"
"{'Name Experiment': 'Learning GEM with DRNN Model; with TEM (DIL) with 500 chunks', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x15529c25ed10>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x15529c8d3b50>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': True, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 500, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 5, 'Class Incremental Case': (False, 50, 1, (True, 0.9), (10, 0.01), 0.4, 6), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.39656795, 'precision': 0.33812908610376967, 'recall': 0.4069666536709585, 'f1_score': 0.30380068731603212, 'confusion_matrix': array([[138,   1,  29,   0,   1],
       [312,   0,  68,   4,   3],
       [ 98,   1,  25,   0,   1],
       [ 91,   0,  17,   1,   1],
       [ 89,   0,  19,   0,   1]]), 'forgetting_measure': [0.38500757, -0.11462463, 0.03749339]}","{""Every task  has these classes:"": [""up"", ""no"", ""wow"", ""house"", ""eight""]}"
"{'Name Experiment': 'Learning GEM with DRNN Model; with TEM (DIL) with 500 chunks', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x15529c25ed10>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x15529c8d3b50>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': True, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 500, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 5, 'Class Incremental Case': (False, 50, 1, (True, 0.9), (10, 0.01), 0.4, 6), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.36579165, 'precision': 0.36725806451612904, 'recall': 0.4112198912198912, 'f1_score': 0.29943078549948778, 'confusion_matrix': array([[ 70,   0,  19,   1,   0],
       [154,   0,  63,   0,   2],
       [ 75,   0,  28,   0,   1],
       [ 82,   0,  26,   1,   1],
       [ 53,   0,  24,   0,   0]]), 'forgetting_measure': [0.33821839, -0.23181246, -0.10947]}","{""Every task  has these classes:"": [""up"", ""no"", ""wow"", ""house"", ""eight""]}"
"{'Name Experiment': 'Learning LWF with LSTM Model; with TEM (DIL) with 300 chunks', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x15524b3130d0>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x15526028ee50>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': True, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 300, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 5, 'Class Incremental Case': (False, 50, 1, (True, 0.9), (10, 0.01), 0.4, 6), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.45201917, 'precision': 0.41015118317265555, 'recall': 0.41068458436169912, 'f1_score': 0.3516589998504494, 'confusion_matrix': array([[  1,  34,   2,  73,   8],
       [  2,  38,   3, 147,  14],
       [  2,  31,   1, 129,  11],
       [  1,  42,   0, 160,  11],
       [  0,  23,   4, 143,  20]]), 'forgetting_measure': [0.4207638, 0.2131613, -1.0816162]}","{""Every task  has these classes:"": [""on"", ""yes"", ""zero"", ""right"", ""house""]}"
"{'Name Experiment': 'Learning LWF with LSTM Model; with TEM (DIL) with 300 chunks', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x15524b3130d0>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x15526028ee50>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': True, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 300, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 5, 'Class Incremental Case': (False, 50, 1, (True, 0.9), (10, 0.01), 0.4, 6), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.39964242, 'precision': 0.32024509803921568, 'recall': 0.39490756337471665, 'f1_score': 0.31332824833220925, 'confusion_matrix': array([[  0,   5,   0,  89,   0],
       [  0,  23,   0, 109,   3],
       [  0,  15,   0,  98,   4],
       [  0,  26,   0, 109,   2],
       [  0,  11,   0, 105,   1]]), 'forgetting_measure': [0.40710339, 0.38593447, -1.0809808]}","{""Every task  has these classes:"": [""on"", ""yes"", ""zero"", ""right"", ""house""]}"
